run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,cagr_pct,benchmark_cagr_pct,annualized_excess_pct,calmar,positive_annualized_excess,calmar_ge_0_3,step04_numeric_gate,image_file,source_note
m3_ols_slope,126,5,complete,58.57,47.47,0.03,0.48,0.21,3468.0,7.986675483163852,6.688419150117952,1.2982563330458996,0.0023029629420887694,True,False,False,codex-clipboard-42a301fa-a6f4-454b-adea-e30a0dabf77b.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,126,1,complete,81.86,47.47,0.05,0.47,0.35,34.67,10.481492146180349,6.688419150117952,3.7930729960623966,0.30232166559504897,True,True,False,codex-clipboard-588e7964-9136-46e1-a98d-3e7876d701ec.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,63,20,complete,32.22,47.47,0.0,0.48,0.05,39.45,4.764993923620753,6.688419150117952,-1.9234252264971996,0.12078565078886572,False,False,False,codex-clipboard-5afe1795-9acf-42a8-95ad-b2b651cb92dd.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,63,10,complete,7.43,47.47,-0.04,0.44,-0.15,36.0,1.2016506107392688,6.688419150117952,-5.486768539378684,0.03337918363164636,False,False,False,codex-clipboard-4c93b689-7390-434f-934e-6598bd7cea80.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,63,5,complete,-0.74,47.47,-0.05,0.44,-0.22,45.29,-0.12371533987727279,6.688419150117952,-6.812134489995225,-0.002731625963287101,False,False,False,codex-clipboard-7006c3a6-51d1-4aaf-8863-10004cfe217a.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,63,1,complete,2.04,47.47,-0.05,0.41,-0.2,38.92,0.33714551606327525,6.688419150117952,-6.351273634054677,0.008662526106456198,False,False,False,codex-clipboard-6681c642-e4b5-4948-9809-b470523a867b.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,31,20,complete,70.18,47.47,0.04,0.37,0.32,21.15,9.265926651788291,6.688419150117952,2.5775075016703397,0.4381052790443637,True,True,True,codex-clipboard-4d200f71-50d7-4029-ab2f-2d4b9fa1e816.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,31,10,complete,59.11,47.47,0.03,0.4,0.24,23.27,8.047878983882196,6.688419150117952,1.3594598337642427,0.3458478291311644,True,True,False,codex-clipboard-637c3597-5db8-460c-af0f-4e702cc360b2.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,31,5,complete,80.21,47.47,0.05,0.41,0.36,21.5,10.313792221154227,6.688419150117952,3.6253730710362753,0.47971126610019665,True,True,True,codex-clipboard-832b0543-4435-48cb-b315-ada77d6afbc6.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,31,1,complete,72.73,47.47,0.05,0.37,0.33,21.95,9.537114307344986,6.688419150117952,2.8486951572270325,0.4344926791501132,True,True,True,codex-clipboard-40e0fde9-5677-47d5-832f-f70e5f6edfd7.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,14,20,complete,36.11,47.47,0.0,0.38,0.08,37.02,5.2725167323436795,6.688419150117952,-1.415902417774273,0.14242346656790056,False,False,False,codex-clipboard-49be7fa1-52f7-4469-a119-a0dd49c45e4a.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,14,10,complete,33.85,47.47,0.0,0.37,0.07,38.09,4.979152551703825,6.688419150117952,-1.7092665984141275,0.13072072858240547,False,False,False,codex-clipboard-2e963616-362d-4953-b0d4-f46b022faac8.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,14,5,complete,6.77,47.47,-0.04,0.41,-0.16,37.03,1.0977617040077714,6.688419150117952,-5.590657446110181,0.029645198595943056,False,False,False,codex-clipboard-8919f71a-5375-48d5-b1be-df54a22287a1.png,早期截图OCR；参数由代码区或红色标注复核
m3_ols_slope,14,1,complete,61.07,47.47,0.04,0.28,0.28,27.68,8.268580573475903,6.688419150117952,1.5801614233579508,0.29872039644060344,True,False,False,codex-clipboard-3ad9da43-b3c8-4458-b461-ef88583a705b.png,早期截图OCR；参数由代码区或红色标注复核
m3b_efficiency,252,20,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,252,10,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,252,5,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,252,1,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,126,20,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,126,10,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,126,5,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,126,1,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,63,20,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,63,10,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,63,5,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,63,1,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,31,20,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,31,10,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
