signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2021-01-29,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.34741144|0.24026451,512690|515030,0.34741144|0.24026451,512690,0.34741144414168934,511010,0.006877369130703803,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-02-26,2,512400|512800,有色金属ETF南方|银行ETF华宝,sector,有色金属|银行,2,0.5,0.20689655|0.12115732,512400|512800,0.20689655|0.12115732,512400,0.2068965517241379,511260,0.00635161175656207,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-03-31,2,515220|512800,煤炭ETF国泰|银行ETF华宝,sector,煤炭|银行,2,0.5,0.08993576|0.04470199,515220|512800,0.08993576|0.04470199,515220,0.08993576017130622,511010,0.0005537284381502694,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-04-30,2,512690|515220,酒ETF鹏华|煤炭ETF国泰,sector,白酒/酒|煤炭,2,0.5,0.17044100|0.13333333,512690|515220,0.17044100|0.13333333,512690,0.1704410011918951,511260,0.009698285862776324,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-05-31,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.37001209|0.28184282,512690|515030,0.37001209|0.28184282,512690,0.3700120918984282,511260,0.016048535223287974,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-06-30,2,512480|515030,半导体ETF国联安|新能源车ETF华夏,sector,半导体|新能源车,2,0.5,0.36782787|0.34818587,512480|515030,0.36782787|0.34818587,512480,0.367827868852459,511260,0.010328051281579542,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-07-30,2,512480|515790,半导体ETF国联安|光伏ETF华泰柏瑞,sector,半导体|光伏,2,0.5,0.42421442|0.38237810,512480|515790,0.42421442|0.38237810,512480,0.42421441774491675,511260,0.01882593308767211,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-08-31,2,515220|512400,煤炭ETF国泰|有色金属ETF南方,sector,煤炭|有色金属,2,0.5,0.53110048|0.49772520,515220|512400,0.53110048|0.49772520,515220,0.5311004784688995,511260,0.016836057526226744,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-09-30,2,515220|512690,煤炭ETF国泰|酒ETF鹏华,sector,煤炭|白酒/酒,2,0.5,0.42142857|0.13806452,515220|512690,0.42142857|0.13806452,515220,0.4214285714285715,511010,0.004281620957838683,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-10-29,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.19626168|0.15748031,512690|159928,0.19626168|0.15748031,512690,0.1962616822429908,511260,-0.0020823651378113484,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
