date,position,strategy_return,strategy_return_after_cost,trade,nav
2016-05-12,511010,0.001799374371372453,0.001799374371372453,False,0.7404329245324256
2016-05-13,511010,0.0005710811856383113,0.0005710811856383113,False,0.7408557718448532
2016-05-16,511010,-0.0025591928416246468,-0.0025591928416246468,False,0.7389597790568715
2016-05-17,511010,0.00016612828795570245,0.00016612828795570245,False,0.7390825411798343
2016-05-18,511010,-0.0010335154289088377,-0.0010335154289088377,False,0.7383186879702878
2016-05-19,511010,-0.0008960242388411643,-0.0008960242388411643,False,0.737657136529877
2016-05-20,511010,0.001340618903651114,0.001340618903651114,False,0.738646053631522
2016-05-23,511010,-0.0008679273157040646,-0.0008679273157040646,False,0.7380049625449382
2016-05-24,511010,0.00012013677109323773,0.00012013677109323773,False,0.7380936240781891
2016-05-25,511010,0.0004989697199302423,0.0004989697199302423,False,0.7384619104470778
2016-05-26,511010,-0.0006464900209648405,-0.0006464900209648405,False,0.7379845021911111
2016-05-27,511010,0.00012014010184180357,0.00012014010184180357,False,0.738073163724362
2016-05-30,511010,-0.0003973387543891871,-0.0003973387543891871,False,0.7377798986528398
2016-05-31,511010,0.0003512761492738825,0.0003512761492738825,False,0.7380390631346502
2016-06-01,511010,0.0001201312202558924,0.0001201312202558924,False,0.7381277246679011
2016-06-02,511010,-0.0009609343238348167,-0.0009609343238348167,False,0.7374184324018936
2016-06-03,511010,-0.00041618882024341275,-0.00041618882024341275,False,0.7371115270944866
2016-06-06,511010,0.00014803985973221856,0.00014803985973221856,False,0.7372206489815647
2016-06-07,511010,0.00021277579906553434,0.00021277579906553434,False,0.7373775116942394
2016-06-08,511010,0.0009526628313509811,0.0009526628313509811,False,0.7380799838423046
2016-06-13,511010,0.00012012455992826965,0.00012012455992826965,False,0.7381686453755555
2016-06-14,511010,0.0015521924718666646,0.0015521924718666646,False,0.7393144251898754
2016-06-15,511010,0.0001291489086916453,0.0001291489086916453,False,0.7394099068410687
2016-06-16,511010,0.0007840171192443623,0.0007840171192443623,False,0.7399896168661709
2016-06-17,511010,0.00042395922618210236,0.00042395922618210236,False,0.7403033422915203
2016-06-20,511010,-0.0009212599150597578,-0.0009212599150597578,False,0.7396213304972823
2016-06-21,511010,0.0001290953184505117,0.0001290953184505117,False,0.7397168121484756
2016-06-22,511010,0.0005992937553589428,0.0005992937553589428,False,0.7401601198147302
2016-06-23,511010,0.0004975766175847607,0.0004975766175847607,False,0.7405284061836187
2016-06-24,511010,0.00153803647080486,0.00153803647080486,False,0.7416673658799962
2016-06-27,511010,0.002124196529559308,0.002124196529559308,False,0.7432428131246859
2016-06-28,511010,-0.00022022793591369716,-0.00022022793591369716,False,0.7430791302940687
2016-06-29,511010,-0.0007342548231363821,-0.0007342548231363821,False,0.7425335208586783
2016-06-30,511010,8.266436431103585e-05,8.266436431103585e-05,False,0.7425949019201598
2016-07-01,511010,0.0026725935178129046,0.0026725935178129046,False,0.7445795562413925
2016-07-04,511010,0.0,0.0,False,0.7445795562413925
2016-07-05,511010,6.411783025250806e-05,6.411783025250806e-05,False,0.744627297066989
2016-07-06,511010,0.0012364788745296007,0.0012364788745296007,False,0.7455480129892105
2016-07-07,511010,0.0009971092978153795,0.0009971092978153795,False,0.7462914058449298
2016-07-08,511010,-0.0009412839844642473,-0.0009412839844642473,False,0.7455889336968646
2016-07-11,511010,-0.00032930242769069196,-0.00032930242769069196,False,0.7453434094509389
2016-07-12,511010,-0.0004117636293761162,-0.0004117636293761162,False,0.7450365041435318
2016-07-13,511010,-0.000512628042584673,-0.000512628042584673,False,0.7446545775387586
2016-07-14,511010,0.0002747630168979942,0.0002747630168979942,False,0.7448591810770301
2016-07-15,511010,0.0012360939431395046,0.0012360939431395046,False,0.7457798969992513
2016-07-18,511010,0.00024691358024697685,0.00024691358024697685,False,0.7459640401836956
2016-07-19,511010,0.0006948444371304152,0.0006948444371304152,False,0.7464823691473165
2016-07-20,511010,0.0006121348889476241,0.0006121348889476241,False,0.7469393170494558
2016-07-21,511010,0.0005843681519357435,0.0005843681519357435,False,0.7473758045977682
2016-07-22,511010,-0.0001825083953862494,-0.0001825083953862494,False,0.7472394022389206
2016-07-25,511010,-0.00011865211200756676,-0.00011865211200756676,False,0.7471507407056697
2016-07-26,511010,0.0006389718030870295,0.0006389718030870295,False,0.7476281489616362
2016-07-27,511010,0.0001915691336513703,0.0001915691336513703,False,0.7477713714384262
2016-07-28,511010,0.0002644971817369335,0.0002644971817369335,False,0.7479691548587553
2016-07-29,511010,0.0006656271940621572,0.0006656271940621572,False,0.748467023468549
2016-08-01,159928,-0.008042895442359255,-0.008242895442359255,True,0.7422974880520439
2016-08-02,159928,-0.021621621621621623,-0.021621621621621623,False,0.7262478126347024
2016-08-03,159928,0.005524861878453136,0.005524861878453136,False,0.7302602314890378
2016-08-04,159928,0.0,0.0,False,0.7302602314890378
2016-08-05,159928,0.0027472527472527375,0.0027472527472527375,False,0.7322664409162055
2016-08-08,159928,0.0,0.0,False,0.7322664409162055
2016-08-09,159928,0.005479452054794498,0.005479452054794498,False,0.7362788597705409
2016-08-10,159928,0.0,0.0,False,0.7362788597705409
2016-08-11,159928,0.0027247956403269047,0.0027247956403269047,False,0.7382850691977085
2016-08-12,159928,-0.0027173913043477826,-0.0027173913043477826,False,0.7362788597705409
2016-08-15,159928,0.01089918256130784,0.01089918256130784,False,0.7443036974792115
2016-08-16,159928,0.005390835579514919,0.005390835579514919,False,0.748316116333547
2016-08-17,159928,0.0,0.0,False,0.748316116333547
2016-08-18,159928,-0.018766756032171594,-0.018766756032171594,False,0.7342726503433732
2016-08-19,159928,-0.016393442622950838,-0.016393442622950838,False,0.722235393780367
2016-08-22,159928,0.016666666666666607,0.016666666666666607,False,0.7342726503433731
2016-08-23,159928,0.0,0.0,False,0.7342726503433731
2016-08-24,159928,-0.002732240437158473,-0.002732240437158473,False,0.7322664409162054
2016-08-25,159928,0.0,0.0,False,0.7322664409162054
2016-08-26,159928,0.0,0.0,False,0.7322664409162054
2016-08-29,159928,-0.008219178082191747,-0.008219178082191747,False,0.7262478126347024
2016-08-30,159928,0.0027624309392264568,0.0027624309392264568,False,0.7282540220618701
2016-08-31,159928,0.0,0.0,False,0.7282540220618701
2016-09-01,159928,0.0,0.0,False,0.7282540220618701
2016-09-02,159928,0.0027548209366390353,0.0027548209366390353,False,0.7302602314890377
2016-09-05,159928,-0.0027472527472527375,-0.0027472527472527375,False,0.7282540220618701
2016-09-06,159928,0.0,0.0,False,0.7282540220618701
2016-09-07,159928,0.0,0.0,False,0.7282540220618701
2016-09-08,159928,-0.0027548209366391463,-0.0027548209366391463,False,0.7262478126347024
2016-09-09,159928,-0.0055248618784530246,-0.0055248618784530246,False,0.722235393780367
2016-09-12,159928,-0.01388888888888895,-0.01388888888888895,False,0.7122043466445286
2016-09-13,159928,-0.005633802816901401,-0.005633802816901401,False,0.7081919277901932
2016-09-14,159928,0.0028328611898016387,0.0028328611898016387,False,0.7101981372173609
2016-09-19,159928,0.0,0.0,False,0.7101981372173609
2016-09-20,159928,0.0,0.0,False,0.7101981372173609
2016-09-21,159928,0.0,0.0,False,0.7101981372173609
2016-09-22,159928,0.005649717514124353,0.005649717514124353,False,0.7142105560716964
2016-09-23,159928,-0.002808988764044895,-0.002808988764044895,False,0.7122043466445287
2016-09-26,159928,-0.005633802816901401,-0.005633802816901401,False,0.7081919277901934
2016-09-27,159928,-0.005665722379603388,-0.005665722379603388,False,0.704179508935858
2016-09-28,159928,0.005698005698005604,0.005698005698005604,False,0.7081919277901934
2016-09-29,159928,-0.0028328611898017497,-0.0028328611898017497,False,0.7061857183630257
2016-09-30,159928,0.005681818181818121,0.005681818181818121,False,0.710198137217361
2016-10-10,512010,0.012461059190031154,0.012261059190031154,True,0.718905918614433
2016-10-11,512010,0.006153846153846176,0.006153846153846176,False,0.7233299550366756
2016-10-12,512010,0.0,0.0,False,0.7233299550366756
2016-10-13,512010,0.0,0.0,False,0.7233299550366756
2016-10-14,512010,0.0,0.0,False,0.7233299550366756
2016-10-17,512010,0.003058103975535076,0.003058103975535076,False,0.7255419732477969
2016-10-18,512010,0.0060975609756097615,0.0060975609756097615,False,0.7299660096700396
2016-10-19,512010,-0.00303030303030305,-0.00303030303030305,False,0.7277539914589182
2016-10-20,512010,-0.006079027355623157,-0.006079027355623157,False,0.7233299550366755
2016-10-21,512010,0.006116207951070374,0.006116207951070374,False,0.7277539914589182
2016-10-24,512010,-0.003039513677811523,-0.003039513677811523,False,0.7255419732477969
2016-10-25,512010,-0.0030487804878048808,-0.0030487804878048808,False,0.7233299550366755
2016-10-26,512010,-0.003058103975535187,-0.003058103975535187,False,0.7211179368255541
2016-10-27,512010,-0.0030674846625766694,-0.0030674846625766694,False,0.7189059186144329
2016-10-28,512010,0.006153846153846176,0.006153846153846176,False,0.7233299550366755
2016-10-31,512010,-0.006116207951070374,-0.006116207951070374,False,0.7189059186144329
2016-11-01,159928,0.0027247956403269047,0.0025247956403269046,True,0.7207210091435559
2016-11-02,159928,-0.0027173913043477826,-0.0027173913043477826,False,0.7187625281404484
2016-11-03,159928,0.0,0.0,False,0.7187625281404484
2016-11-04,159928,0.0,0.0,False,0.7187625281404484
2016-11-07,159928,0.0,0.0,False,0.7187625281404484
2016-11-08,159928,0.0027247956403269047,0.0027247956403269047,False,0.7207210091435559
2016-11-09,159928,-0.008152173913043459,-0.008152173913043459,False,0.7148455661342334
2016-11-10,159928,0.0,0.0,False,0.7148455661342334
2016-11-11,159928,0.00273972602739736,0.00273972602739736,False,0.716804047137341
2016-11-14,159928,0.0,0.0,False,0.716804047137341
2016-11-15,159928,-0.002732240437158473,-0.002732240437158473,False,0.7148455661342336
2016-11-16,159928,0.00273972602739736,0.00273972602739736,False,0.7168040471373411
2016-11-17,159928,-0.002732240437158473,-0.002732240437158473,False,0.7148455661342337
2016-11-18,159928,0.00273972602739736,0.00273972602739736,False,0.7168040471373412
2016-11-21,159928,0.0,0.0,False,0.7168040471373412
2016-11-22,159928,0.0,0.0,False,0.7168040471373412
2016-11-23,159928,0.0,0.0,False,0.7168040471373412
2016-11-24,159928,0.002732240437158362,0.002732240437158362,False,0.7187625281404486
2016-11-25,159928,0.008174386920980936,0.008174386920980936,False,0.7246379711497711
2016-11-28,159928,0.00540540540540535,0.00540540540540535,False,0.7285549331559861
2016-11-29,159928,0.016129032258064502,0.016129032258064502,False,0.740305819174631
2016-11-30,159928,-0.007936507936507908,-0.007936507936507908,False,0.7344303761653086
2016-12-01,512010,0.009009009009008917,0.008809009009008916,True,0.7408999799654387
2016-12-02,512010,-0.017857142857142905,-0.017857142857142905,False,0.7276696231803415
2016-12-05,512010,0.0,0.0,False,0.7276696231803415
