date,portfolio_value,nav,daily_return
2015-10-14,104701.93347710602,1.0470193347710601,0.003039024482608399
2015-10-15,104531.95478438171,1.045319547843817,-0.0016234532360520637
2015-10-16,104102.06681150338,1.0410206681150338,-0.004112502954384256
2015-10-19,104149.50272575203,1.0414950272575203,0.00045566736282509623
2015-10-20,104668.33303784656,1.0466833303784657,0.004981591832087018
2015-10-21,104579.39069863035,1.0457939069863036,-0.0008497540434130313
2015-10-22,104487.4836147736,1.044874836147736,-0.0008788259641098195
2015-10-23,104618.92062717088,1.0461892062717089,0.0012579211198333606
2015-10-26,104742.45165386006,1.0474245165386007,0.001180771374323486
2015-10-27,104926.26582157357,1.0492626582157356,0.0017549156508285257
2015-10-28,105114.03298214111,1.051140329821411,0.0017895153239022576
2015-10-29,104825.4645037952,1.048254645037952,-0.002745289759693126
2015-10-30,104881.79465196547,1.0488179465196545,0.0005373708424465384
2015-11-02,104880.95714204255,1.0488095714204255,-7.985274524502373e-06
2015-11-03,104525.36708740973,1.0452536708740974,-0.003390415803998015
2015-11-04,107987.51218973062,1.0798751218973062,0.03312253473767446
2015-11-05,108160.55179189838,1.0816055179189838,0.001602403821135745
2015-11-06,109166.45111494596,1.0916645111494596,0.009300057242523474
2015-11-09,111244.92059786714,1.1124492059786715,0.01903945270450058
2015-11-10,110656.0621935985,1.106560621935985,-0.005293350933273322
2015-11-11,109794.12530434388,1.0979412530434387,-0.00778933275021676
2015-11-12,110662.66185124734,1.1066266185124733,0.007910592160517815
2015-11-13,108844.0990655403,1.088440990655403,-0.016433390949438298
2015-11-16,109016.85007166534,1.0901685007166533,0.0015871416788613146
2015-11-17,108844.3377663049,1.088443377663049,-0.0015824370750671113
2015-11-18,107980.32121511362,1.0798032121511363,-0.00793809369345766
2015-11-19,109285.22113131004,1.0928522113131005,0.012084608579713718
2015-11-20,109634.34011779023,1.0963434011779023,0.0031945672330269126
2015-11-23,109496.03577203922,1.0949603577203921,-0.0012615057070842761
2015-11-24,109635.98016588151,1.0963598016588152,0.001278077264218469
2015-11-25,110158.00383010576,1.1015800383010577,0.004761426526532775
2015-11-26,109654.91976610929,1.0965491976610928,-0.004566931557441478
2015-11-27,105736.8172401092,1.057368172401092,-0.03573120599018531
2015-11-30,105519.12145129585,1.0551912145129585,-0.0020588456745298522
2015-12-01,107538.26162827764,1.0753826162827764,0.019135301253562442
2015-12-02,108559.12708188199,1.08559127081882,0.00949304403983331
2015-12-03,108902.56394977847,1.0890256394977846,0.0031635927547339904
2015-12-04,109524.73355131812,1.095247335513181,0.00571308497223777
2015-12-07,110704.07093020507,1.1070407093020507,0.010767772179371526
2015-12-08,109097.58786666737,1.0909758786666737,-0.014511508475153811
2015-12-09,107769.30998219631,1.0776930998219632,-0.012175135220169997
2015-12-10,109604.37854476005,1.0960437854476006,0.017027747165374807
2015-12-11,108307.3413867474,1.083073413867474,-0.011833807875503588
2015-12-14,109749.4067143664,1.097494067143664,0.01331456676117293
2015-12-15,109749.40666901853,1.0974940666901853,-4.13194700676911e-10
2015-12-16,109088.32058140931,1.0908832058140931,-0.00602359600542457
2015-12-17,110912.53664659125,1.1091253664659124,0.016722377386134468
2015-12-18,111695.29896924792,1.1169529896924792,0.007057473810655246
2015-12-21,116985.9089089573,1.169859089089573,0.04736645130576167
2015-12-22,117143.64671907129,1.171436467190713,0.0013483488018779521
2015-12-23,115993.79852327278,1.1599379852327278,-0.00981571112051871
2015-12-24,115115.78772647744,1.1511578772647744,-0.0075694632641862825
2015-12-25,114628.54113604968,1.1462854113604968,-0.0042326652151787325
2015-12-28,113202.95105876132,1.1320295105876133,-0.012436606652756477
2015-12-29,113046.22719088574,1.1304622719088573,-0.00138445037350865
2015-12-30,115028.814035104,1.15028814035104,0.017537841761587902
2015-12-31,114526.06344684737,1.1452606344684737,-0.004370649149726957
2016-01-04,111736.8211243533,1.117368211243533,-0.02435465114706037
2016-01-05,110760.20823551847,1.1076020823551846,-0.008740295983075685
2016-01-06,111420.53391710579,1.1142053391710578,0.005961759120055143
2016-01-07,109228.71958874792,1.0922871958874791,-0.01967154752631617
2016-01-08,107419.62058060429,1.0741962058060428,-0.016562484802119748
2016-01-11,103936.36164155317,1.0393636164155318,-0.03242665464860195
2016-01-12,103776.93359582993,1.0377693359582993,-0.0015339005830612429
2016-01-13,103605.66616310296,1.0360566616310296,-0.0016503420056136475
2016-01-14,102894.9881614791,1.0289498816147908,-0.006859451108639836
2016-01-15,98523.94364544915,0.9852394364544915,-0.04248063578344752
2016-01-18,98080.78033463065,0.9808078033463065,-0.004498026514379916
2016-01-19,100855.83497028716,1.0085583497028716,0.0282935619617688
2016-01-20,99434.88640252787,0.9943488640252788,-0.014088907877049528
2016-01-21,97009.10533591588,0.9700910533591588,-0.024395673936731366
2016-01-22,96866.82535928402,0.9686682535928401,-0.0014666662076635584
2016-01-25,97857.5777877052,0.9785757778770521,0.010227984913786958
2016-01-26,97611.2634607447,0.976112634607447,-0.0025170695262339837
2016-01-27,96714.7880217732,0.967147880217732,-0.009184139280524972
2016-01-28,93584.21265712916,0.9358421265712916,-0.03236914880007036
2016-01-29,95760.9920380312,0.957609920380312,0.023260113208167343
2016-02-01,94713.32081166336,0.9471332081166336,-0.010940480085583904
2016-02-02,94697.24083293864,0.9469724083293863,-0.00016977526061723314
2016-02-03,94804.21539383027,0.9480421539383026,0.0011296481286118265
2016-02-04,94772.3882517468,0.947723882517468,-0.00033571441893431864
2016-02-05,94799.7949574298,0.947997949574298,0.0002891844997110482
2016-02-15,94981.03284984951,0.9498103284984951,0.0019117962491490559
2016-02-16,94977.49650072912,0.9497749650072912,-3.723216114082106e-05
2016-02-17,94980.14876256941,0.9498014876256942,2.7925160569708396e-05
2016-02-18,94920.91491480297,0.9492091491480297,-0.0006236445040165295
2016-02-19,95006.67138097229,0.9500667138097229,0.0009034517445001278
2016-02-22,95003.13503185191,0.9500313503185192,-3.7222113657642275e-05
2016-02-23,95057.94844321787,0.9505794844321788,0.0005769642375230699
2016-02-24,95207.35919355412,0.9520735919355412,0.00157178597669283
2016-02-25,95130.44360018574,0.9513044360018574,-0.0008078744544527394
2016-02-26,95203.82284443374,0.9520382284443374,0.0007713539585330054
2016-02-29,95213.54780451479,0.9521354780451479,0.00010214884014625447
2016-03-01,95352.34950748988,0.9535234950748989,0.0014577936247062162
2016-03-02,95387.71299869374,0.9538771299869374,0.00037087173401095797
2016-03-03,95324.05871452681,0.953240587145268,-0.0006673216304892149
2016-03-04,95268.36121588075,0.9526836121588075,-0.0005842963402644674
2016-03-07,95236.53407379729,0.9523653407379729,-0.00033407882404257183
