date,strategy_key,strategy_name,window_label,lookback_days,top_n,portfolio_value,nav,daily_return
2022-05-12,top2_12m,Top2 12m,12m,252,2,313572.4303429735,3.135724303429735,-0.018958108705025567
2022-05-13,top2_12m,Top2 12m,12m,252,2,319564.2732971675,3.195642732971675,0.0191083219517747
2022-05-16,top2_12m,Top2 12m,12m,252,2,322906.6738179414,3.229066738179414,0.010459243413814878
2022-05-17,top2_12m,Top2 12m,12m,252,2,331406.55908008374,3.3140655908008374,0.026323039910084667
2022-05-18,top2_12m,Top2 12m,12m,252,2,330721.28923472494,3.3072128923472492,-0.002067761867058371
2022-05-19,top2_12m,Top2 12m,12m,252,2,340770.606026047,3.40770606026047,0.030386059556600564
2022-05-20,top2_12m,Top2 12m,12m,252,2,351110.97573310777,3.5111097573310777,0.03034407758241442
2022-05-23,top2_12m,Top2 12m,12m,252,2,352164.95624862396,3.5216495624862394,0.0030018443978161446
2022-05-24,top2_12m,Top2 12m,12m,252,2,344831.57740689005,3.4483157740689006,-0.020823704095522255
2022-05-25,top2_12m,Top2 12m,12m,252,2,351300.3926392606,3.513003926392606,0.018759347044187802
2022-05-26,top2_12m,Top2 12m,12m,252,2,357054.5908728987,3.570545908728987,0.01637970908716535
2022-05-27,top2_12m,Top2 12m,12m,252,2,358192.77581207437,3.581927758120744,0.0031877056569784568
2022-05-30,top2_12m,Top2 12m,12m,252,2,356987.9377916719,3.569879377916719,-0.0033636580683988893
2022-05-31,top2_12m,Top2 12m,12m,252,2,361184.9138412435,3.6118491384124347,0.01175663266253224
2022-06-01,top2_12m,Top2 12m,12m,252,2,363274.50162146194,3.6327450162146193,0.005785368380964329
2022-06-02,top2_12m,Top2 12m,12m,252,2,362358.6176143696,3.623586176143696,-0.002521189907368382
2022-06-06,top2_12m,Top2 12m,12m,252,2,377692.29814681195,3.7769229814681196,0.04231631258942703
2022-06-07,top2_12m,Top2 12m,12m,252,2,378490.2248896986,3.7849022488969863,0.0021126370508528503
2022-06-08,top2_12m,Top2 12m,12m,252,2,389436.19710179477,3.894361971017948,0.028920092230350303
2022-06-09,top2_12m,Top2 12m,12m,252,2,388436.7371560808,3.884367371560808,-0.002566427962146345
2022-06-10,top2_12m,Top2 12m,12m,252,2,396977.23646305955,3.9697723646305954,0.02198684750960367
2022-06-13,top2_12m,Top2 12m,12m,252,2,396306.65146324626,3.963066514632463,-0.001689227840336538
2022-06-14,top2_12m,Top2 12m,12m,252,2,398112.65301515546,3.981126530151555,0.004557081101821181
2022-06-15,top2_12m,Top2 12m,12m,252,2,388603.32262967917,3.886033226296792,-0.023886029025845357
2022-06-16,top2_12m,Top2 12m,12m,252,2,386129.4811627208,3.861294811627208,-0.00636598125362875
2022-06-17,top2_12m,Top2 12m,12m,252,2,390028.18497500336,3.9002818497500336,0.01009688201103609
2022-06-20,top2_12m,Top2 12m,12m,252,2,379617.48315483675,3.7961748315483677,-0.026692178209720474
2022-06-21,top2_12m,Top2 12m,12m,252,2,377226.9746533,3.772269746533,-0.006297150704625887
2022-06-22,top2_12m,Top2 12m,12m,252,2,375679.9629705002,3.756799629705002,-0.004101010231894575
2022-06-23,top2_12m,Top2 12m,12m,252,2,384074.3351686792,3.840743351686792,0.02234447675038287
2022-06-24,top2_12m,Top2 12m,12m,252,2,388730.1552798033,3.887301552798033,0.012122184912666256
2022-06-27,top2_12m,Top2 12m,12m,252,2,398507.3493658885,3.985073493658885,0.02515162241284763
2022-06-28,top2_12m,Top2 12m,12m,252,2,408343.8433960537,4.083438433960537,0.0246833440984644
2022-06-29,top2_12m,Top2 12m,12m,252,2,397155.7051349719,3.971557051349719,-0.02739881705582714
2022-06-30,top2_12m,Top2 12m,12m,252,2,403932.9655164915,4.039329655164915,0.017064492071733772
2022-07-01,top2_12m,Top2 12m,12m,252,2,401008.69086513564,4.010086908651356,-0.007239504821342613
2022-07-04,top2_12m,Top2 12m,12m,252,2,404313.7548964351,4.043137548964351,0.008241876314872831
2022-07-05,top2_12m,Top2 12m,12m,252,2,416216.28431350784,4.162162843135079,0.02943884365280014
2022-07-06,top2_12m,Top2 12m,12m,252,2,400151.4982099519,4.001514982099519,-0.038597207050782734
2022-07-07,top2_12m,Top2 12m,12m,252,2,408659.33402639296,4.08659334026393,0.02126153682917642
2022-07-08,top2_12m,Top2 12m,12m,252,2,400113.82720372546,4.001138272037255,-0.02091107705401285
2022-07-11,top2_12m,Top2 12m,12m,252,2,389976.762979028,3.8997676297902797,-0.025335450902915335
2022-07-12,top2_12m,Top2 12m,12m,252,2,389934.1562234946,3.8993415622349463,-0.00010925460073019089
2022-07-13,top2_12m,Top2 12m,12m,252,2,393777.206206223,3.93777206206223,0.009855638244026244
2022-07-14,top2_12m,Top2 12m,12m,252,2,400927.3109474999,4.009273109474999,0.018157741556865004
2022-07-15,top2_12m,Top2 12m,12m,252,2,397539.1748405122,3.975391748405122,-0.00845074908711163
2022-07-18,top2_12m,Top2 12m,12m,252,2,407997.08080690133,4.079970808069013,0.026306604803374878
2022-07-19,top2_12m,Top2 12m,12m,252,2,402025.54733062495,4.02025547330625,-0.014636216181905803
2022-07-20,top2_12m,Top2 12m,12m,252,2,402747.0042303153,4.027470042303153,0.0017945548597113614
2022-07-21,top2_12m,Top2 12m,12m,252,2,392802.8794183289,3.928028794183289,-0.02469074805656335
2022-07-22,top2_12m,Top2 12m,12m,252,2,392738.59317675035,3.9273859317675033,-0.00016366031143610904
2022-07-25,top2_12m,Top2 12m,12m,252,2,388058.05391340505,3.8805805391340504,-0.011917696260725807
2022-07-26,top2_12m,Top2 12m,12m,252,2,395739.6505184081,3.957396505184081,0.01979496760223709
2022-07-27,top2_12m,Top2 12m,12m,252,2,402871.9761038494,4.028719761038494,0.018022772234468132
2022-07-28,top2_12m,Top2 12m,12m,252,2,407610.29472941835,4.076102947294183,0.011761350768035195
2022-07-29,top2_12m,Top2 12m,12m,252,2,401394.5810995671,4.013945810995671,-0.01524915761506307
2022-08-01,top2_12m,Top2 12m,12m,252,2,406847.9424330082,4.068479424330082,0.013586036260136769
2022-08-02,top2_12m,Top2 12m,12m,252,2,395500.7644302197,3.955007644302197,-0.027890464272550486
2022-08-03,top2_12m,Top2 12m,12m,252,2,387183.3858461974,3.8718338584619736,-0.021029993699265837
2022-08-04,top2_12m,Top2 12m,12m,252,2,385798.08761492255,3.8579808761492256,-0.0035778865569017215
2022-08-05,top2_12m,Top2 12m,12m,252,2,384036.9299564949,3.8403692995649488,-0.004564972494590314
2022-08-08,top2_12m,Top2 12m,12m,252,2,392535.51401820197,3.9253551401820195,0.022129601084639905
2022-08-09,top2_12m,Top2 12m,12m,252,2,406250.2973035296,4.062502973035295,0.0349389616876592
