date,portfolio_value,nav,gross_return,cost,daily_return,one_way_turnover,two_way_traded,cash_target
2021-06-17,331656.8921863011,3.3165689218630114,0.026558072360928886,0.0,0.026558072360928886,0.0,0.0,False
2021-06-18,332060.7305267792,3.3206073052677922,0.0012176389214044736,0.0,0.0012176389214044736,0.0,0.0,False
2021-06-21,328404.28575549525,3.2840428575549523,-0.011011373628804149,0.0,-0.011011373628804149,0.0,0.0,False
2021-06-22,331910.3479899686,3.319103479899686,0.010676055053324399,0.0,0.010676055053324399,0.0,0.0,False
2021-06-23,335334.30714141147,3.353343071414115,0.010315915644625678,0.0,0.010315915644625678,0.0,0.0,False
2021-06-24,334383.34390714386,3.343833439071439,-0.0028358662207102294,0.0,-0.0028358662207102294,0.0,0.0,False
2021-06-25,344520.2756323861,3.445202756323861,0.03031530101588194,0.0,0.03031530101588194,0.0,0.0,False
2021-06-28,341219.6656018481,3.412196656018481,-0.00958030706459741,0.0,-0.00958030706459741,0.0,0.0,False
2021-06-29,335921.60319801327,3.3592160319801327,-0.015526837805464856,0.0,-0.015526837805464856,0.0,0.0,False
2021-06-30,341880.37279315677,3.4188037279315675,0.017738572150213978,0.0,0.017738572150213978,0.0,0.0,False
2021-07-01,338487.5225310704,3.384875225310704,-0.009790752785933554,0.00013333333333333334,-0.009924086119266887,0.6666666666666666,1.3333333333333333,False
2021-07-02,334915.1172656606,3.3491511726566063,-0.010554023494564283,0.0,-0.010554023494564283,0.0,0.0,False
2021-07-05,345274.00998831086,3.452740099883109,0.03092990488820901,0.0,0.03092990488820901,0.0,0.0,False
2021-07-06,340284.08809800114,3.4028408809800115,-0.014452063421972212,0.0,-0.014452063421972212,0.0,0.0,False
2021-07-07,355522.30009057745,3.5552230009057744,0.044780853779409505,0.0,0.044780853779409505,0.0,0.0,False
2021-07-08,362371.9563432301,3.623719563432301,0.019266460221785055,0.0,0.019266460221785055,0.0,0.0,False
2021-07-09,363785.75544279645,3.6378575544279643,0.0039015135548381057,0.0,0.0039015135548381057,0.0,0.0,False
2021-07-12,373423.7137729556,3.734237137729556,0.02649350114995008,0.0,0.02649350114995008,0.0,0.0,False
2021-07-13,368526.7591420685,3.685267591420685,-0.013113668067327205,0.0,-0.013113668067327205,0.0,0.0,False
2021-07-14,358791.1301563069,3.5879113015630693,-0.026417698970967872,0.0,-0.026417698970967872,0.0,0.0,False
2021-07-15,367922.1206243768,3.6792212062437684,0.0254493205116079,0.0,0.0254493205116079,0.0,0.0,False
2021-07-16,357973.7168269898,3.5797371682698977,-0.027039428291248835,0.0,-0.027039428291248835,0.0,0.0,False
2021-07-19,355622.52484723664,3.556225248472366,-0.006568057567448382,0.0,-0.006568057567448382,0.0,0.0,False
2021-07-20,361590.6012365051,3.615906012365051,0.016782053925949187,0.0,0.016782053925949187,0.0,0.0,False
2021-07-21,379404.1653195722,3.794041653195722,0.049264455497879014,0.0,0.049264455497879014,0.0,0.0,False
2021-07-22,387131.36236637353,3.8713136236637355,0.020366663714123247,0.0,0.020366663714123247,0.0,0.0,False
2021-07-23,387193.67445438675,3.8719367445438673,0.00016095851194349508,0.0,0.00016095851194349508,0.0,0.0,False
2021-07-26,386071.07314803125,3.8607107314803124,-0.002899327598616848,0.0,-0.002899327598616848,0.0,0.0,False
2021-07-27,371551.0822028727,3.7155108220287274,-0.037609631891771134,0.0,-0.037609631891771134,0.0,0.0,False
2021-07-28,368126.9085599945,3.681269085599945,-0.009215889300003758,0.0,-0.009215889300003758,0.0,0.0,False
2021-07-29,395790.80761430954,3.957908076143095,0.07514772327436794,0.0,0.07514772327436794,0.0,0.0,False
2021-07-30,401024.23891243275,4.010242389124327,0.01322272068335417,0.0,0.01322272068335417,0.0,0.0,False
2021-08-02,402217.3701665882,4.022173701665882,0.0029752098212099854,0.0,0.0029752098212099854,0.0,0.0,False
2021-08-03,382922.9523942834,3.829229523942834,-0.0479701256171845,0.0,-0.0479701256171845,0.0,0.0,False
2021-08-04,408425.7653433223,4.084257653433223,0.06660037688934217,0.0,0.06660037688934217,0.0,0.0,False
2021-08-05,407520.98583198356,4.075209858319836,-0.002215285097349806,0.0,-0.002215285097349806,0.0,0.0,False
2021-08-06,409588.9682119545,4.095889682119545,0.00507454205272173,0.0,0.00507454205272173,0.0,0.0,False
2021-08-09,399995.52507652453,3.9999552507652454,-0.023422122859680074,0.0,-0.023422122859680074,0.0,0.0,False
2021-08-10,395992.9813609292,3.9599298136092917,-0.01000647123447096,0.0,-0.01000647123447096,0.0,0.0,False
2021-08-11,398943.8129356965,3.989438129356965,0.0074517269589629365,0.0,0.0074517269589629365,0.0,0.0,False
2021-08-12,399962.52835613466,3.9996252835613464,0.0025535310672993488,0.0,0.0025535310672993488,0.0,0.0,False
2021-08-13,390966.6370990658,3.9096663709906583,-0.022491835157764317,0.0,-0.022491835157764317,0.0,0.0,False
2021-08-16,383767.75110321934,3.8376775110321937,-0.01841304426705433,0.0,-0.01841304426705433,0.0,0.0,False
2021-08-17,375099.0221476617,3.750990221476617,-0.02258847683432922,0.0,-0.02258847683432922,0.0,0.0,False
2021-08-18,374326.8386856861,3.7432683868568613,-0.002058612303370862,0.0,-0.002058612303370862,0.0,0.0,False
2021-08-19,383843.3895007922,3.8384338950079218,0.02542310577707966,0.0,0.02542310577707966,0.0,0.0,False
2021-08-20,385138.5725382092,3.8513857253820922,0.0033742486463072354,0.0,0.0033742486463072354,0.0,0.0,False
2021-08-23,395679.54293195065,3.9567954293195062,0.02736929288664173,0.0,0.02736929288664173,0.0,0.0,False
2021-08-24,402864.9389309253,4.028649389309253,0.018159634803789793,0.0,0.018159634803789793,0.0,0.0,False
2021-08-25,407592.5610940768,4.075925610940768,0.011735005224572676,0.0,0.011735005224572676,0.0,0.0,False
2021-08-26,401048.6255100768,4.010486255100768,-0.01605509081528485,0.0,-0.01605509081528485,0.0,0.0,False
2021-08-27,406670.6706388104,4.0667067063881035,0.01401836278975684,0.0,0.01401836278975684,0.0,0.0,False
2021-08-30,413589.89653560484,4.1358989653560485,0.017014322389971172,0.0,0.017014322389971172,0.0,0.0,False
2021-08-31,404940.7475924506,4.049407475924506,-0.020912379667886095,0.0,-0.020912379667886095,0.0,0.0,False
2021-09-01,393342.4006205648,3.933424006205648,-0.028508750825504744,0.00013333333333333334,-0.028642084158838076,0.6666666666666666,1.3333333333333333,False
2021-09-02,411404.4580547853,4.114044580547853,0.04591942644811368,0.0,0.04591942644811368,0.0,0.0,False
2021-09-03,396130.15839044057,3.9613015839044055,-0.03712720989112546,0.0,-0.03712720989112546,0.0,0.0,False
2021-09-06,399314.3938010531,3.9931439380105314,0.00803835644211189,0.0,0.00803835644211189,0.0,0.0,False
2021-09-07,414954.2722271233,4.149542722271233,0.03916682861640656,0.0,0.03916682861640656,0.0,0.0,False
2021-09-08,414412.12315831403,4.14412123158314,-0.0013065272611835575,0.0,-0.0013065272611835575,0.0,0.0,False
2021-09-09,429100.9780300095,4.291009780300095,0.03544504142337549,0.0,0.03544504142337549,0.0,0.0,False
2021-09-10,427715.7393944015,4.277157393944015,-0.003228234626654892,0.0,-0.003228234626654892,0.0,0.0,False
2021-09-13,435279.4211918324,4.352794211918324,0.017683898675649196,0.0,0.017683898675649196,0.0,0.0,False
2021-09-14,425592.42937341175,4.255924293734117,-0.022254651487765842,0.0,-0.022254651487765842,0.0,0.0,False
2021-09-15,430942.8799778467,4.309428799778467,0.012571771101079765,0.0,0.012571771101079765,0.0,0.0,False
2021-09-16,417370.00323852536,4.173700032385254,-0.03149576746695311,0.0,-0.03149576746695311,0.0,0.0,False
2021-09-17,400087.99385139975,4.0008799385139975,-0.04140692731396193,0.0,-0.04140692731396193,0.0,0.0,False
2021-09-22,412111.40292070806,4.121114029207081,0.03005191171463658,0.0,0.03005191171463658,0.0,0.0,False
2021-09-23,409423.7815136239,4.094237815136239,-0.00652158952175678,0.0,-0.00652158952175678,0.0,0.0,False
2021-09-24,395893.782788839,3.9589378278883904,-0.033046440719112516,0.0,-0.033046440719112516,0.0,0.0,False
2021-09-27,382055.08634030336,3.8205508634030334,-0.034955579122890525,0.0,-0.034955579122890525,0.0,0.0,False
2021-09-28,385402.97123434517,3.8540297123434515,0.008762832936242509,0.0,0.008762832936242509,0.0,0.0,False
2021-09-29,372240.54926347575,3.7224054926347576,-0.034152362470672104,0.0,-0.034152362470672104,0.0,0.0,False
2021-09-30,384002.10594463826,3.8400210594463826,0.031596656260136705,0.0,0.031596656260136705,0.0,0.0,False
2021-10-08,372742.8965837222,3.727428965837222,-0.029187363575915632,0.00013333333333333334,-0.029320696909248965,0.6666666666666666,1.3333333333333333,False
2021-10-11,376853.7787697391,3.768537787697391,0.01102873381007167,0.0,0.01102873381007167,0.0,0.0,False
2021-10-12,370579.36199866625,3.705793619986663,-0.01664947288456553,0.0,-0.01664947288456553,0.0,0.0,False
2021-10-13,369795.70842282264,3.6979570842282263,-0.0021146713935096643,0.0,-0.0021146713935096643,0.0,0.0,False
2021-10-14,368393.54247653665,3.6839354247653664,-0.003791731256877632,0.0,-0.003791731256877632,0.0,0.0,False
2021-10-15,373381.24920559785,3.7338124920559785,0.013539072089948239,0.0,0.013539072089948239,0.0,0.0,False
2021-10-18,371274.396793636,3.7127439679363605,-0.005642630465360326,0.0,-0.005642630465360326,0.0,0.0,False
2021-10-19,374957.03856924374,3.7495703856924374,0.009918921981724024,0.0,0.009918921981724024,0.0,0.0,False
2021-10-20,364208.7671159985,3.642087671159985,-0.028665341219512364,0.0,-0.028665341219512364,0.0,0.0,False
2021-10-21,371288.06003503123,3.7128806003503123,0.019437458837387196,0.0,0.019437458837387196,0.0,0.0,False
2021-10-22,365203.9088948096,3.6520390889480963,-0.01638660596747321,0.0,-0.01638660596747321,0.0,0.0,False
2021-10-25,368966.58294084476,3.689665829408448,0.010302940232545299,0.0,0.010302940232545299,0.0,0.0,False
2021-10-26,369041.115254943,3.69041115254943,0.0002020028846627291,0.0,0.0002020028846627291,0.0,0.0,False
2021-10-27,355371.0047948815,3.5537100479488153,-0.037042242435826794,0.0,-0.037042242435826794,0.0,0.0,False
2021-10-28,346238.8164869045,3.4623881648690453,-0.025697617939449174,0.0,-0.025697617939449174,0.0,0.0,False
2021-10-29,347648.4123124573,3.476484123124573,0.0040711663696610945,0.0,0.0040711663696610945,0.0,0.0,False
2021-11-01,348885.6269228202,3.488856269228202,0.003692143230186666,0.00013333333333333334,0.0035588098968533325,0.6666666666666666,1.3333333333333333,False
2021-11-02,344422.4662782169,3.4442246627821693,-0.01279261826853817,0.0,-0.01279261826853817,0.0,0.0,False
2021-11-03,341050.114657581,3.41050114657581,-0.009791323014079478,0.0,-0.009791323014079478,0.0,0.0,False
2021-11-04,351519.1048963184,3.515191048963184,0.030696339889075754,0.0,0.030696339889075754,0.0,0.0,False
2021-11-05,348877.56965271605,3.4887756965271604,-0.007514627816264737,0.0,-0.007514627816264737,0.0,0.0,False
2021-11-08,348791.9164935537,3.4879191649355374,-0.0002455106507637623,0.0,-0.0002455106507637623,0.0,0.0,False
2021-11-09,348312.9919412958,3.483129919412958,-0.0013730953316595977,0.0,-0.0013730953316595977,0.0,0.0,False
2021-11-10,341356.0619999852,3.413560619999852,-0.01997321404101726,0.0,-0.01997321404101726,0.0,0.0,False
2021-11-11,342232.7422224453,3.4223274222244533,0.0025682280763486,0.0,0.0025682280763486,0.0,0.0,False
2021-11-12,341897.07962668256,3.4189707962668257,-0.0009808021102334363,0.0,-0.0009808021102334363,0.0,0.0,False
2021-11-15,339760.27858008933,3.3976027858008933,-0.0062498370823361,0.0,-0.0062498370823361,0.0,0.0,False
2021-11-16,344268.36082383146,3.4426836082383145,0.013268420495127073,0.0,0.013268420495127073,0.0,0.0,False
2021-11-17,346021.12154126866,3.4602112154126865,0.00509126285448617,0.0,0.00509126285448617,0.0,0.0,False
2021-11-18,344980.1824440962,3.449801824440962,-0.003008310858411948,0.0,-0.003008310858411948,0.0,0.0,False
2021-11-19,349747.3771032661,3.4974737710326607,0.013818749313063481,0.0,0.013818749313063481,0.0,0.0,False
2021-11-22,352535.4676089309,3.525354676089309,0.007971726703876358,0.0,0.007971726703876358,0.0,0.0,False
2021-11-23,351946.2240723553,3.519462240723553,-0.0016714446934153284,0.0,-0.0016714446934153284,0.0,0.0,False
2021-11-24,354197.1532147782,3.5419715321477825,0.006395662145135428,0.0,0.006395662145135428,0.0,0.0,False
2021-11-25,351062.29569396435,3.5106229569396437,-0.008850600554976624,0.0,-0.008850600554976624,0.0,0.0,False
2021-11-26,349981.4587617361,3.499814587617361,-0.003078761078832796,0.0,-0.003078761078832796,0.0,0.0,False
2021-11-29,352823.4194010603,3.528234194010603,0.008120317714484921,0.0,0.008120317714484921,0.0,0.0,False
2021-11-30,348460.9096676851,3.4846090966768513,-0.012364569621769425,0.0,-0.012364569621769425,0.0,0.0,False
2021-12-01,347604.3620345797,3.4760436203457967,-0.002324754817565185,0.00013333333333333334,-0.0024580881508985183,0.6666666666666666,1.3333333333333333,False
2021-12-02,348284.10194317246,3.4828410194317247,0.0019554987878004724,0.0,0.0019554987878004724,0.0,0.0,False
2021-12-03,355391.76106752193,3.5539176106752195,0.020407647333581688,0.0,0.020407647333581688,0.0,0.0,False
2021-12-06,352178.9315612142,3.5217893156121423,-0.009040247575399746,0.0,-0.009040247575399746,0.0,0.0,False
2021-12-07,344513.3229144325,3.445133229144325,-0.021766232899849986,0.0,-0.021766232899849986,0.0,0.0,False
2021-12-08,354750.68007664103,3.5475068007664103,0.029715417318566823,0.0,0.029715417318566823,0.0,0.0,False
2021-12-09,357369.752951289,3.57369752951289,0.007382855119776322,0.0,0.007382855119776322,0.0,0.0,False
2021-12-10,357435.3896324011,3.5743538963240113,0.00018366602257206344,0.0,0.00018366602257206344,0.0,0.0,False
2021-12-13,357672.5491237428,3.576725491237428,0.0006635031063531769,0.0,0.0006635031063531769,0.0,0.0,False
2021-12-14,357743.25437680044,3.5774325437680043,0.0001976815196773991,0.0,0.0001976815196773991,0.0,0.0,False
2021-12-15,353488.9319165056,3.5348893191650563,-0.011892110915427152,0.0,-0.011892110915427152,0.0,0.0,False
2021-12-16,351233.3563283796,3.512333563283796,-0.006380894518809964,0.0,-0.006380894518809964,0.0,0.0,False
2021-12-17,342713.05139087304,3.4271305139087302,-0.02425824536306479,0.0,-0.02425824536306479,0.0,0.0,False
