symbol,name,sma_window,trade_number,entry_date,exit_date,entry_close,exit_close,days_held,total_return,peak_return,giveback_from_peak,max_drawdown,false_breakout,lagging_stop,open_trade
159915,创业板ETF易方达,100,6,2016-01-07,2016-01-08,2.096,2.125,2,-0.08636225423202037,-0.08636225423202037,0.0,0.0,True,False,False
159915,创业板ETF易方达,100,7,2016-04-15,2016-04-18,2.195,2.16,2,-0.025483506749269913,-0.008685352622061604,-0.016945330296127437,-0.016945330296127437,True,False,False
159915,创业板ETF易方达,100,8,2016-06-01,2016-06-14,2.067,1.967,8,-0.05120054825431164,0.018312691813143323,-0.06826315789473669,-0.06826315789473669,True,False,False
159915,创业板ETF易方达,100,9,2016-06-16,2016-06-17,2.009,2.034,2,-0.004937424394148016,-0.004937424394148016,0.0,0.0,True,False,False
159915,创业板ETF易方达,100,10,2016-06-20,2016-06-22,2.03,2.055,3,0.008326431511109345,0.008326431511109345,0.0,-0.011330049261083608,False,False,False
159915,创业板ETF易方达,100,11,2016-06-23,2016-07-29,2.051,2.031,27,-0.013662731390894911,0.06462565883830873,-0.0735360730593605,-0.0735360730593605,False,False,False
159915,创业板ETF易方达,100,12,2016-08-16,2016-08-23,2.105,2.084,6,-0.011009010899258098,0.0032762751549364477,-0.014238636363636203,-0.018939393939393923,True,False,False
159915,创业板ETF易方达,100,13,2016-08-24,2016-09-13,2.098,2.055,15,-0.015882553112460895,0.02009894442929805,-0.03527255639097737,-0.03527255639097737,True,False,False
159915,创业板ETF易方达,100,14,2016-09-20,2016-09-21,2.066,2.068,2,-0.003927574231817221,-0.0038957528957530574,-3.1945788964038435e-05,-3.1945788964038435e-05,True,False,False
159915,创业板ETF易方达,100,15,2016-09-22,2016-09-26,2.072,2.032,3,-0.01938637147319311,0.0009342359767892106,-0.020301640926640774,-0.020301640926640774,True,False,False
159915,创业板ETF易方达,100,16,2016-10-11,2016-10-31,2.118,2.071,15,-0.024606373681663407,-0.001471920717319608,-0.023168555240793087,-0.023168555240793087,True,False,False
159915,创业板ETF易方达,100,17,2016-11-17,2016-11-18,2.074,2.07,2,-0.012031982885277404,-0.009130081300813164,-0.0029286403085824197,-0.0029286403085824197,True,False,False
159915,创业板ETF易方达,100,18,2016-12-01,2016-12-05,2.089,2.055,3,-0.01965147859542893,-0.002434034416826103,-0.01725945428434661,-0.01725945428434661,True,False,False
159915,创业板ETF易方达,100,19,2017-08-17,2017-08-24,1.746,1.705,6,-0.01925622600691257,0.005340057636887607,-0.02446563573883176,-0.02446563573883176,True,False,False
159915,创业板ETF易方达,100,20,2017-08-28,2017-11-06,1.755,1.754,46,0.015988207884942707,0.06685638413090556,-0.047680434782608194,-0.058695652173912816,False,False,False
159915,创业板ETF易方达,100,21,2017-11-07,2017-11-20,1.76,1.755,10,-0.0014083807977869345,0.025203042396600095,-0.02595722222222241,-0.042777777777777914,True,False,False
159915,创业板ETF易方达,100,22,2017-11-21,2017-11-24,1.75,1.678,4,-0.04579663672446066,-0.0038490028490028028,-0.042109714285714306,-0.042109714285714306,True,False,False
159915,创业板ETF易方达,100,23,2018-03-07,2018-03-08,1.679,1.686,2,-0.006129571983506388,-0.006129571983506388,0.0,0.0,True,False,False
159915,创业板ETF易方达,100,24,2018-03-12,2018-03-26,1.777,1.673,11,-0.04858842486857218,0.01153561253561275,-0.05943837929093987,-0.08722566122678654,True,False,False
159915,创业板ETF易方达,100,25,2018-03-28,2018-04-24,1.73,1.705,18,-0.020923028624357354,0.02945956151845519,-0.048940815187046405,-0.07705192629815749,True,False,False
159915,创业板ETF易方达,100,26,2018-04-25,2018-05-30,1.715,1.633,24,-0.04416411138907128,0.037091097184579924,-0.07834915254237262,-0.07834915254237262,False,False,False
159915,创业板ETF易方达,100,27,2019-02-12,2019-05-10,1.278,1.465,60,0.15675905227709497,0.34439686218577337,-0.13957025279247492,-0.1716637272192827,False,True,False
159915,创业板ETF易方达,100,28,2019-05-13,2019-05-20,1.441,1.407,6,-0.041532419210209226,0.0010290445817631166,-0.04251771117166214,-0.04251771117166214,True,False,False
159915,创业板ETF易方达,100,29,2019-05-22,2019-05-23,1.427,1.392,2,-0.028545801691651107,-0.003097902097902061,-0.0255269796776455,-0.0255269796776455,True,False,False
159915,创业板ETF易方达,100,30,2019-07-02,2019-07-04,1.511,1.476,3,-0.025124097948378554,-0.0010000000000000009,-0.02414824619457312,-0.02414824619457312,True,False,False
159915,创业板ETF易方达,100,31,2019-07-31,2019-08-01,1.512,1.516,2,-0.005937256540753277,-0.005937256540753277,0.0,0.0,True,False,False
159915,创业板ETF易方达,100,32,2019-08-02,2019-08-05,1.501,1.473,2,-0.030334567405370882,-0.010894459102902432,-0.0196542305129912,-0.0196542305129912,True,False,False
159915,创业板ETF易方达,100,33,2019-08-19,2020-03-24,1.568,1.806,144,0.19212909927721178,0.45031970427059687,-0.17802323462414504,-0.1977220956719813,False,True,False
159915,创业板ETF易方达,100,34,2020-03-25,2020-03-31,1.86,1.795,5,-0.008046593628764143,0.028900332225913594,-0.03590913978494603,-0.03709677419354829,True,False,False
