date,momentum_baseline,momentum_bond_defense,momentum_bond_defense_stress,buy_hold_510300
2018-08-09,134677.36793824536,138571.99771890903,133885.88806083717,98502.67379679144
2018-08-10,139799.7011828875,142604.66244048142,137780.75970301277,101283.42245989305
2018-08-13,141328.19415537736,143793.3747008122,138752.9595937216,100463.45811051693
2018-08-14,140813.32714563338,143338.03767189677,138312.77314648533,101033.86809269161
2018-08-15,140714.81134955963,143359.21596883147,138333.48304831213,100534.75935828876
2018-08-16,137309.55420961388,140480.65151841237,135556.97286696226,96898.39572192513
2018-08-17,139751.0512501399,142437.6889051129,137443.6153824795,98039.2156862745
2018-08-20,138305.85618503904,141108.25479567377,136161.61751448672,95650.623885918
2018-08-21,140057.74265304877,142508.17325359464,137511.71612266655,96577.54010695187
2018-08-22,140758.49724025268,143076.95448396952,138060.2713503869,98859.18003565061
2018-08-23,140462.94985203142,142852.74318656043,137844.38574005006,98502.67379679144
2018-08-24,140703.667334872,143090.65594424593,138073.26165768152,98573.97504456327
2018-08-27,143288.2562302222,145237.25733691416,140145.7834221942,99215.6862745098
2018-08-28,144383.0740017211,146137.1315830583,141013.24369717573,102032.08556149733
2018-08-29,143989.01081742608,145888.73319255034,140774.23674518097,101497.32620320855
2018-08-30,143244.57033952913,145259.76955998363,140168.02994313845,101176.47058823529
2018-08-31,141843.06116512135,144134.13171604273,139082.44084312796,99465.24064171122
2018-09-03,142248.26836410398,144492.70011221888,139428.6355299296,98894.83065953654
2018-09-04,142401.61406555842,144576.80729229597,139509.89841086237,98752.22816399287
2018-09-05,143255.71435421676,145230.2141643483,140140.21744801247,99750.44563279857
2018-09-06,140638.5835828611,143127.11960515165,138110.97023777245,97647.05882352941
2018-09-07,140638.5835828611,143093.67883192687,138078.660349718,97040.9982174688
2018-09-10,140566.78433558202,143030.7084681576,137886.79812709603,97005.34759358288
2018-09-11,138988.40589910967,141424.70172581892,136339.45740494062,95793.22638146167
2018-09-12,139457.82115044873,141902.27853573777,136798.27973209077,95294.11764705883
2018-09-13,141394.67187547236,143873.06293106495,138697.79836680496,95686.27450980392
2018-09-14,142733.19068410038,145235.02715016057,140010.38270408293,95900.17825311942
2018-09-17,139782.74711952067,142232.95921527196,137118.4729873207,95294.11764705883
2018-09-18,138640.23761490802,141070.43230939776,135997.96993498656,94438.50267379679
2018-09-19,140925.25662413333,143395.48612114612,138238.97603965487,96898.39572192513
2018-09-20,142317.92976094,144812.56378683072,139604.92591947113,98680.92691622103
2018-09-21,141784.05617707263,144269.36529375552,139082.04760717796,98966.13190730837
2018-09-25,143315.9499832856,145828.19456232025,140586.79989988508,101069.51871657753
2018-09-26,144698.3191157426,147234.76399143753,141942.05933709667,101176.47058823529
2018-09-27,144904.63242410758,147444.7095412263,142144.83106464523,102067.73618538324
2018-09-28,144032.89456038823,146557.74986829725,141291.1557250027,102139.03743315507
2018-10-08,142738.22607558925,145240.39085922335,140021.24648765833,100499.10873440285
2018-10-09,140050.8844539836,142505.9541844648,137385.38737049763,97540.10695187165
2018-10-10,138634.96900204726,141065.2877818932,135998.1432759572,97647.05882352941
2018-10-11,135795.46840025525,138176.0190039349,133212.87797378626,94046.3458110517
2018-10-12,130908.1741106519,133203.1666737191,128421.4496223098,91479.50089126558
2018-10-15,134389.85695266855,136745.86083793067,131836.32432185055,93654.18894830659
2018-10-16,133156.25786422106,135485.19450183495,130495.1398306422,91907.3083778966
2018-10-17,134015.50231012766,136157.10517554518,131142.9246417702,92442.06773618537
2018-10-18,133042.49385610124,135478.45082532425,130489.66095048189,90659.5365418895
2018-10-19,129172.54258964397,132385.89922440043,127513.0092161413,88342.24598930482
2018-10-22,135576.06209452415,137595.53287401696,132529.19231817866,94046.3458110517
2018-10-23,140125.24614982284,141260.62407639905,136056.54752491222,97611.40819964348
2018-10-24,135968.88006806336,137861.82040536514,132784.6401157386,93547.23707664883
2018-10-25,132980.2557971612,135467.99398129564,130482.39187626002,91194.29590017824
2018-10-26,135657.03144323523,137617.33791285826,132553.02672023608,94688.05704099822
2018-10-29,131596.3564099525,134324.49595761593,129386.59995838348,92941.17647058824
2018-10-30,125130.59884613226,129058.10669599667,124318.51143410796,89447.41532976826
2018-10-31,126819.64433841422,130404.4327755685,125615.47319720226,91372.54901960785
2018-11-01,128736.21784693579,131986.72397216366,127137.8821192428,93725.49019607842
2018-11-02,131603.71725983534,134306.87325317707,129369.86568488897,97611.40819964348
2018-11-05,132411.43575656216,134986.15226029794,130022.96461229029,97254.90196078431
2018-11-06,131166.73418699918,133979.89006148145,129054.36760358483,96114.08199643494
2018-11-07,130336.93314062385,133319.60796373824,128418.81648417088,95900.17825311942
2018-11-08,130887.6802215798,133814.1621312231,128894.84602295505,95971.47950089126
2018-11-09,129635.61780213396,132827.9594141073,127945.33256921865,94081.99643493761
2018-11-12,127781.28235255243,131307.54106176464,126479.76256051275,92976.82709447415
2018-11-13,127043.86100439283,130760.9732434949,125792.79929790329,93262.0320855615
2018-11-14,131756.94680859297,134674.3088018143,129555.90332453334,95401.06951871657
2018-11-15,130258.87931350857,133432.49896156738,128361.39635089773,94331.55080213903
2018-11-16,134515.3669993325,136998.3299499737,131790.71429242165,96042.78074866309
2018-11-19,135244.9859756187,137656.84996761035,132425.9688584145,96185.38324420677
2018-11-20,136923.10724713802,139027.32977021413,133746.53813646143,96755.79322638146
2018-11-21,131844.0335035528,134779.1030600329,129659.20349505197,93868.09269162209
2018-11-22,133410.3562131147,136100.1815468842,130930.53668637513,95294.11764705883
2018-11-23,132579.53286635422,135396.3219688963,130252.08103506456,94509.80392156861
2018-11-26,127951.17685463,131453.70430225652,126460.77138238566,92014.26024955437
2018-11-27,128213.60352105684,131666.97438861732,126665.9652955159,92299.4652406417
2018-11-28,127975.88872162758,131480.10973215976,126485.49856174746,91800.35650623887
2018-11-29,132215.90182945313,134976.91210299663,129848.79722870186,94081.99643493761
2018-11-30,126258.93790759625,130068.10518282442,125128.46869891252,92263.81461675579
2018-12-03,133013.7760202168,135625.2119496028,130474.67902362968,96791.44385026737
2018-12-04,131920.5260070295,134755.8562634186,129637.0471484969,96327.98573975044
2018-12-05,131488.6397556509,134480.43370740986,129371.98564326164,95401.06951871657
2018-12-06,130786.08954884623,133974.0059095622,128884.88289800248,95151.51515151515
2018-12-07,129457.48163871358,132926.48437125224,127877.52171080184,93832.44206773618
2018-12-10,128686.67621743144,132296.97569316643,127271.39115961173,92727.27272727272
2018-12-11,129049.16475979732,132626.18912273005,127505.1512386054,92727.27272727272
2018-12-12,130356.37958881818,133733.48809592504,128569.6645905551,93511.58645276292
2018-12-13,130779.73777258539,134082.48590291498,128904.5095427605,93511.58645276292
2018-12-14,131667.02117492727,134769.06129642582,129564.46309585375,94866.3101604278
2018-12-17,129519.94349254845,132971.04160895568,127835.82980365855,93012.47771836007
2018-12-18,128398.98410237514,132009.60428597484,126911.63615012413,92513.36898395722
2018-12-19,127979.05267569616,131749.68683589247,126661.77271988771,91764.70588235292
2018-12-20,125782.84106578931,129974.56333299595,124955.70137970199,90231.72905525846
2018-12-21,126436.44848029973,130468.78956324642,125430.7925608588,89376.11408199643
2018-12-24,125733.70713826126,129947.29550629438,124930.00528085913,87878.78787878787
2018-12-25,125921.6759556529,130099.25388706918,125075.83293493283,87522.2816399287
2018-12-26,125456.03735853409,129704.24350237424,124695.83080298164,87522.2816399287
2018-12-27,126343.32076087598,130413.7912001139,125377.8838373063,88591.80035650624
2018-12-28,124804.14332256778,129183.062013947,124194.45138509924,87201.42602495544
2019-01-02,125042.95944603157,129504.57789848353,124502.50144668913,87629.23351158646
2019-01-03,123686.61068948267,128315.15886195892,123359.52384683373,85704.09982174687
2019-01-04,122189.71366452606,127136.30253518804,122226.8861971356,85169.3404634581
2019-01-07,125737.13389534949,130050.9093617957,125028.96810728064,89019.60784313724
2019-01-08,126715.83163857102,130890.69940197874,125836.67211345152,88948.30659536541
2019-01-09,126389.0279313158,130619.91074882174,125576.35052691012,89376.11408199643
2019-01-10,127462.41891248911,131492.1765976632,126211.97849997102,89732.62032085561
2019-01-11,126553.83900956661,130554.87170365993,125313.445922915,89803.92156862744
2019-01-14,128044.67194481139,132092.8377117694,126789.44267837454,90659.5365418895
2019-01-15,126910.2308998478,130922.53101669243,125666.39169184725,89875.22281639928
2019-01-16,129212.60156596136,133297.69173312082,127944.6769946289,91907.3083778966
2019-01-17,128046.38372306411,132094.60360833892,126789.59565809819,91836.00713012477
2019-01-18,126733.74673295992,130740.46725674572,125490.07178710478,91550.80213903743
2019-01-21,127933.45315204357,131978.10270780209,126677.33645336256,93155.08021390374
2019-01-22,127397.15353836908,131424.84784168378,126147.76482024051,93547.23707664883
2019-01-23,125615.19408696315,129586.55127652122,124383.0359755792,92049.91087344027
2019-01-24,125874.54380519062,129854.10040386936,124639.73771477754,92192.51336898394
2019-01-25,127478.30731145595,131508.5673125157,126227.99367497272,93012.47771836007
2019-01-28,127949.3415510104,131994.49342265457,126693.35162836428,94260.2495543672
2019-01-29,126215.04729650497,130205.36900204943,124976.6683087081,93368.98395721926
2019-01-30,124207.22670305797,128134.07063581317,122987.42105457552,93582.88770053476
2019-01-31,124433.08784509907,128367.07243688684,123211.93946404678,93796.79144385026
2019-02-01,125440.42169832799,129406.25341314405,124206.86905056039,95044.5632798574
2019-02-11,127854.0111572094,131896.14913353973,126597.26057835402,95971.47950089126
2019-02-12,129830.05495272274,133934.66607007105,128554.47748248315,97896.61319073083
2019-02-13,130899.23062356628,135037.64400916858,129613.31478927995,98966.13190730837
2019-02-14,134232.96143466842,138476.7715911069,132700.7854023007,101105.16934046346
2019-02-15,135066.8465116161,139337.02016269127,133527.0717141506,100819.96434937611
2019-02-18,134257.35462755852,138501.93598116518,132726.88686433568,100178.25311942959
2019-02-19,138371.34675131118,142745.99304106832,136794.2891248382,103101.60427807485
2019-02-20,137286.85089455187,141627.21056437344,135721.05468563296,102816.39928698752
2019-02-21,137717.83993655062,142071.82543757046,136147.6566913555,102887.70053475935
2019-02-22,136841.81534902818,141168.10510377167,135280.99383011274,102531.19429590018
2019-02-25,141692.85654342952,146172.51323331374,140073.0290886045,107914.43850267379
2019-02-26,147746.67573273354,152417.72549840348,146055.0434250803,113761.14081996435
2019-02-27,145038.75952843792,149624.19781561743,143377.87051440577,111800.35650623885
2019-02-28,145205.09128710008,149795.78819629914,143544.06554297535,111087.3440285205
2019-03-01,146469.22864078506,151099.89158279277,144794.2013262686,111836.00713012477
2019-03-04,150408.0158470332,155163.20457593614,148688.2710145226,114688.05704099822
2019-03-05,151142.1018687836,155920.4989191115,149414.8403092307,114830.65953654188
2019-03-06,151970.07683578721,156774.65053108142,150232.05278068274,116078.431372549
2019-03-07,152083.185629248,156891.33528860752,150342.47611334294,116827.09447415329
2019-03-08,146653.30671713187,151289.7893356306,144974.67144219612,112691.6221033868
2019-03-11,145271.62399056493,149864.4243485718,143610.54355440318,110802.13903743315
2019-03-12,149651.0101629156,154382.26595927792,147941.10532633786,113547.23707664883
2019-03-13,149523.11810066845,154250.3305560593,147814.47060960083,113547.23707664883
2019-03-14,147148.87991631366,151801.03021101851,145233.58154456835,112370.76648841354
2019-03-15,145058.44551512031,150086.1705519209,143594.2051454174,112049.91087344028
2019-03-18,144940.63413419525,149987.92739666146,143501.1070394954,113475.935828877
2019-03-19,148602.24288910173,153000.1711732425,146381.89661310107,117611.40819964348
2019-03-20,148128.77243687699,152621.3359951009,146016.78038098797,116399.28698752227
2019-03-21,150172.8610106838,154315.1861856738,147638.63709976335,116684.49197860961
2019-03-22,152510.6436886067,156245.28140139536,149481.91521908517,116577.54010695187
