symbol,name,sma_window,capital_cny,commission_rate,min_commission_cny,slippage_rate,avg_effective_commission_rate,min_commission_bind_rate,trade_count,turnover_per_year,time_in_market,total_commission_cny,total_slippage_cny,total_cost_cny,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar
159915,创业板ETF易方达,200,100000,0.0001,5,0.0002,0.0001,0,73,6.612508986,0.446441409,730,1460,2190,1.207460309,1.159721795,-0.047738514,1.997893258,-0.838171463,0.072236354,-0.460143141,0.426712105,0.156986701
159915,创业板ETF易方达,200,200000,0.0001,5,0.0002,0.0001,0,73,6.612508986,0.446441409,1460,2920,4380,1.207460309,1.159721795,-0.047738514,1.997893258,-0.838171463,0.072236354,-0.460143141,0.426712105,0.156986701
159915,创业板ETF易方达,200,500000,0.0001,5,0.0002,0.0001,0,73,6.612508986,0.446441409,3650,7300,10950,1.207460309,1.159721795,-0.047738514,1.997893258,-0.838171463,0.072236354,-0.460143141,0.426712105,0.156986701
159915,创业板ETF易方达,200,1000000,0.0001,5,0.0002,0.0001,0,73,6.612508986,0.446441409,7300,14600,21900,1.207460309,1.159721795,-0.047738514,1.997893258,-0.838171463,0.072236354,-0.460143141,0.426712105,0.156986701
159915,创业板ETF易方达,200,20000,0.0001,5,0.0001,0.00025,1,73,6.612508986,0.446441409,365,146,511,1.207460309,1.151864986,-0.055595323,1.997893258,-0.846028272,0.071882437,-0.461411842,0.425210899,0.155788019
159915,创业板ETF易方达,200,20000,0.0001,5,0.0002,0.00025,1,73,6.612508986,0.446441409,365,292,657,1.207460309,1.136235843,-0.071224465,1.997893258,-0.861657415,0.071174899,-0.463940494,0.422207957,0.153413855
159915,创业板ETF易方达,200,10000,0.0001,5,0.0001,0.0005,1,73,6.612508986,0.446441409,365,73,438,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,50000,0.0001,5,0.0005,0.0001,0,73,6.612508986,0.446441409,365,1825,2190,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,100000,0.0001,5,0.0005,0.0001,0,73,6.612508986,0.446441409,730,3650,4380,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,200000,0.0001,5,0.0005,0.0001,0,73,6.612508986,0.446441409,1460,7300,8760,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,500000,0.0001,5,0.0005,0.0001,0,73,6.612508986,0.446441409,3650,18250,21900,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,1000000,0.0001,5,0.0005,0.0001,0,73,6.612508986,0.446441409,7300,36500,43800,1.207460309,1.113001827,-0.094458482,1.997893258,-0.884891431,0.070114337,-0.4677117,0.417702242,0.149909307
159915,创业板ETF易方达,200,10000,0.0001,5,0.0002,0.0005,1,73,6.612508986,0.446441409,365,146,511,1.207460309,1.09765113,-0.109809179,1.997893258,-0.900242128,0.06940779,-0.470211399,0.414697583,0.147609757
159915,创业板ETF易方达,200,8000,0.0001,5,0.0001,0.000625,1,73,6.612508986,0.446441409,365,58.4,423.4,1.207460309,1.093830674,-0.113629635,1.997893258,-0.904062584,0.069231216,-0.470834527,0.413946313,0.147039377
159915,创业板ETF易方达,200,20000,0.0001,5,0.0005,0.00025,1,73,6.612508986,0.446441409,365,730,1095,1.207460309,1.090017081,-0.117443227,1.997893258,-0.907876177,0.069054666,-0.471456937,0.413195002,0.146470781
159915,创业板ETF易方达,200,8000,0.0001,5,0.0002,0.000625,1,73,6.612508986,0.446441409,365,116.8,481.8,1.207460309,1.07861736,-0.128842949,1.997893258,-0.919275899,0.068525164,-0.473319871,0.410940823,0.144775591
159915,创业板ETF易方达,200,10000,0.0001,5,0.0005,0.0005,1,73,6.612508986,0.446441409,365,365,730,1.207460309,1.052255955,-0.155204354,1.997893258,-0.945637304,0.067290526,-0.477641761,0.405679656,0.140880742
159915,创业板ETF易方达,200,5000,0.0001,5,0.0001,0.001,1,73,6.612508986,0.446441409,365,36.5,401.5,1.207460309,1.037340628,-0.17011968,1.997893258,-0.96055263,0.066585562,-0.480095808,0.402672404,0.138692238
159915,创业板ETF易方达,200,8000,0.0001,5,0.0005,0.000625,1,73,6.612508986,0.446441409,365,292,657,1.207460309,1.033628534,-0.173831775,1.997893258,-0.964264725,0.066409383,-0.480707555,0.401920494,0.138149239
159915,创业板ETF易方达,200,5000,0.0001,5,0.0002,0.001,1,73,6.612508986,0.446441409,365,73,438,1.207460309,1.022532228,-0.18492808,1.997893258,-0.97536103,0.065880993,-0.48253857,0.399664534,0.136530005
159915,创业板ETF易方达,200,5000,0.0001,5,0.0005,0.001,1,73,6.612508986,0.446441409,365,182.5,547.5,1.207460309,0.978741051,-0.228719258,1.997893258,-1.019152207,0.063769657,-0.489799653,0.390637337,0.130195391
159915,创业板ETF易方达,200,3000,0.0001,5,0.0001,0.001666667,1,73,6.612508986,0.446441409,365,21.9,386.9,1.207460309,0.94060148,-0.266858829,1.997893258,-1.057291778,0.061895895,-0.496170166,0.382608845,0.124747313
159915,创业板ETF易方达,200,3000,0.0001,5,0.0002,0.001666667,1,73,6.612508986,0.446441409,365,43.8,408.8,1.207460309,0.926486854,-0.280973455,1.997893258,-1.071406405,0.061193956,-0.498538982,0.379597162,0.122746583
510300,沪深300ETF华泰柏瑞,200,50000,0.0001,5,0.0001,0.0001,0,53,4.799137621,0.535034136,265,265,530,0.91245971,0.892308096,-0.020151614,0.725164417,0.167143679,0.059452639,-0.27187241,0.456602468,0.218678457
510300,沪深300ETF华泰柏瑞,200,100000,0.0001,5,0.0001,0.0001,0,53,4.799137621,0.535034136,530,530,1060,0.91245971,0.892308096,-0.020151614,0.725164417,0.167143679,0.059452639,-0.27187241,0.456602468,0.218678457
510300,沪深300ETF华泰柏瑞,200,200000,0.0001,5,0.0001,0.0001,0,53,4.799137621,0.535034136,1060,1060,2120,0.91245971,0.892308096,-0.020151614,0.725164417,0.167143679,0.059452639,-0.27187241,0.456602468,0.218678457
510300,沪深300ETF华泰柏瑞,200,500000,0.0001,5,0.0001,0.0001,0,53,4.799137621,0.535034136,2650,2650,5300,0.91245971,0.892308096,-0.020151614,0.725164417,0.167143679,0.059452639,-0.27187241,0.456602468,0.218678457
510300,沪深300ETF华泰柏瑞,200,1000000,0.0001,5,0.0001,0.0001,0,53,4.799137621,0.535034136,5300,5300,10600,0.91245971,0.892308096,-0.020151614,0.725164417,0.167143679,0.059452639,-0.27187241,0.456602468,0.218678457
159915,创业板ETF易方达,200,3000,0.0001,5,0.0005,0.001666667,1,73,6.612508986,0.446441409,365,109.5,474.5,1.207460309,0.884747695,-0.322712614,1.997893258,-1.113145564,0.059090504,-0.505580217,0.370559007,0.116876613
510300,沪深300ETF华泰柏瑞,200,50000,0.0001,5,0.0002,0.0001,0,53,4.799137621,0.535034136,265,530,795,0.91245971,0.882310561,-0.030149149,0.725164417,0.157146144,0.058944578,-0.273838478,0.453442737,0.215253089
510300,沪深300ETF华泰柏瑞,200,100000,0.0001,5,0.0002,0.0001,0,53,4.799137621,0.535034136,530,1060,1590,0.91245971,0.882310561,-0.030149149,0.725164417,0.157146144,0.058944578,-0.273838478,0.453442737,0.215253089
510300,沪深300ETF华泰柏瑞,200,200000,0.0001,5,0.0002,0.0001,0,53,4.799137621,0.535034136,1060,2120,3180,0.91245971,0.882310561,-0.030149149,0.725164417,0.157146144,0.058944578,-0.273838478,0.453442737,0.215253089
510300,沪深300ETF华泰柏瑞,200,500000,0.0001,5,0.0002,0.0001,0,53,4.799137621,0.535034136,2650,5300,7950,0.91245971,0.882310561,-0.030149149,0.725164417,0.157146144,0.058944578,-0.273838478,0.453442737,0.215253089
510300,沪深300ETF华泰柏瑞,200,1000000,0.0001,5,0.0002,0.0001,0,53,4.799137621,0.535034136,5300,10600,15900,0.91245971,0.882310561,-0.030149149,0.725164417,0.157146144,0.058944578,-0.273838478,0.453442737,0.215253089
510300,沪深300ETF华泰柏瑞,200,20000,0.0001,5,0.0001,0.00025,1,53,4.799137621,0.535034136,265,106,371,0.91245971,0.877331246,-0.035128464,0.725164417,0.152166829,0.05869062,-0.274819594,0.451862509,0.213560538
510300,沪深300ETF华泰柏瑞,200,20000,0.0001,5,0.0002,0.00025,1,53,4.799137621,0.535034136,265,212,477,0.91245971,0.867411354,-0.045048356,0.725164417,0.142246937,0.058182849,-0.276777998,0.448701337,0.210214863
510300,沪深300ETF华泰柏瑞,250,50000,0.0001,5,0.0001,0.0001,0,57,5.161336687,0.526410349,285,285,570,0.885844788,0.864563897,-0.021280891,0.725164417,0.13939948,0.058036642,-0.307894336,0.449199737,0.188495323
510300,沪深300ETF华泰柏瑞,250,100000,0.0001,5,0.0001,0.0001,0,57,5.161336687,0.526410349,570,570,1140,0.885844788,0.864563897,-0.021280891,0.725164417,0.13939948,0.058036642,-0.307894336,0.449199737,0.188495323
